date,n_active_loans,total_ead,total_el,total_rwa,el_rate,avg_pd,avg_lgd,var_99,cvar_995,sector_hhi,new_defaults,gdp_growth,unemployment,policy_rate,credit_spread_bps
2015-01-01,482,1697995933.82,25747639.48,341156223.98,0.015164,0.023472,0.5378,59991999.99,75440583.68,0.1312,0,2.591,5.319,3.0,154.0
2015-02-01,956,3132178636.31,40212538.41,532816135.09,0.012839,0.021194,0.5407,93695214.5,117822737.54,0.1282,1,2.864,5.01,3.0,141.2
2015-03-01,1415,4428744245.73,52984497.92,702044598.79,0.011964,0.021226,0.5437,123453880.15,155244578.91,0.1245,1,2.866,4.962,3.0,139.9
2015-04-01,1898,6060836193.43,71435598.55,946521681.67,0.011786,0.021117,0.5422,166444944.62,209306303.75,0.1259,2,2.574,5.096,3.0,145.2
2015-05-01,2378,7439622304.34,88125985.71,1167669310.93,0.011845,0.021781,0.5433,205333546.7,258209138.13,0.125,0,2.586,5.261,3.0,147.4
2015-06-01,2840,8882164243.28,102200208.0,1354152756.48,0.011506,0.021398,0.5449,238126484.64,299446609.44,0.1243,8,2.32,5.303,3.0,138.0
2015-07-01,3312,10537006285.5,120029214.91,1590387098.08,0.011391,0.021685,0.545,279668070.74,351685599.69,0.1242,8,2.601,5.28,3.0,135.7
2015-08-01,3764,12018448728.65,142813101.18,1892273591.16,0.011883,0.022736,0.5454,332754525.75,418442386.46,0.1249,7,2.387,5.45,3.0,133.9
2015-09-01,4217,13749420547.36,161988163.51,2146343166.73,0.011781,0.022574,0.5454,377432420.98,474625319.08,0.1244,11,2.27,5.374,3.0,137.8
2015-10-01,4649,15196040347.98,175054216.11,2319468364.19,0.01152,0.022231,0.5456,407876323.54,512908853.2,0.1256,4,2.402,5.417,3.0,140.4
2015-11-01,5083,16678979039.76,196758280.39,2607047215.61,0.011797,0.022356,0.5467,458446793.31,576501761.54,0.1246,9,3.055,5.336,3.0,135.3
2015-12-01,5585,18433555945.37,218048861.91,2889147422.4,0.011829,0.022288,0.5465,508053848.25,638883165.4,0.1237,5,2.755,5.411,3.0,143.8
2016-01-01,6060,20066099860.7,232214563.08,3076842963.33,0.011572,0.021922,0.5469,541059931.98,680388669.82,0.1241,11,2.695,5.265,3.0,135.8
2016-02-01,6497,21641895246.96,246809697.86,3270228499.78,0.011404,0.021939,0.5465,575066596.01,723152414.73,0.1234,10,2.871,5.363,3.0,139.6
2016-03-01,6918,22904226421.02,263294746.25,3488655390.02,0.011495,0.022036,0.5462,613476758.76,771453606.51,0.1229,11,2.634,5.38,3.0,139.6
2016-04-01,7387,24399106414.62,274848884.66,3641747721.72,0.011265,0.021811,0.5456,640397901.26,805307232.05,0.1234,12,2.686,5.491,3.0,140.4
2016-05-01,7837,26170278918.42,297694053.6,3944446210.03,0.011375,0.021737,0.5462,693627144.89,872243577.05,0.1243,10,2.871,5.477,3.0,141.7
2016-06-01,8298,27864130704.42,316805829.8,4197677244.33,0.01137,0.021567,0.5466,738157583.43,928241081.31,0.1242,21,3.024,5.234,3.0,137.9
2016-07-01,8720,29202238135.35,330825847.15,4383442476.09,0.011329,0.021563,0.5469,770824223.86,969319732.15,0.1238,10,2.83,5.127,3.0,134.9
2016-08-01,9146,30430670654.29,345726046.37,4580870116.5,0.011361,0.021458,0.5466,805541688.04,1012977315.86,0.1233,13,3.246,4.991,3.0,142.2
2016-09-01,9547,31737707263.38,359509588.32,4763502047.89,0.011328,0.021411,0.5462,837657340.79,1053363093.78,0.1235,16,2.666,4.941,3.0,142.3
2016-10-01,10009,33050915728.7,372749638.55,4938932713.89,0.011278,0.021314,0.5467,868506657.82,1092156440.95,0.1234,17,2.826,5.051,3.0,147.4
2016-11-01,10453,34642046367.0,388508272.49,5147734612.72,0.011215,0.021228,0.5467,905224274.9,1138329238.4,0.1233,14,2.688,4.979,3.0,152.5
2016-12-01,10897,35898657039.14,405251252.99,5369579105.41,0.011289,0.021248,0.5472,944235419.47,1187386171.26,0.1233,19,2.612,4.788,3.0,141.2
2017-01-01,11349,37422327451.73,428142991.04,5672894635.72,0.011441,0.021395,0.5468,997573169.12,1254458963.75,0.1239,17,2.325,4.874,3.0,141.2
2017-02-01,11738,38561488534.8,442084498.01,5857619604.13,0.011464,0.021444,0.5466,1030056880.36,1295307579.17,0.1238,25,2.55,4.816,3.0,141.4
2017-03-01,12173,39991765998.15,463093897.46,6135994148.02,0.01158,0.021477,0.5468,1079008781.08,1356865119.56,0.1245,20,2.732,4.779,3.0,143.9
2017-04-01,12530,41236843727.8,479737937.7,6356527681.67,0.011634,0.021438,0.5467,1117789394.84,1405632157.46,0.1249,26,2.511,4.735,3.0,139.4
2017-05-01,12956,42567584272.49,496770862.51,6582213937.37,0.01167,0.021476,0.547,1157476109.65,1455538627.15,0.1243,20,2.151,4.821,3.0,134.7
2017-06-01,13362,44119566193.5,513000468.34,6797256216.44,0.011628,0.021519,0.5472,1195291091.23,1503091372.24,0.1243,19,2.189,4.903,3.0,137.8
2017-07-01,13742,45296764477.37,526693950.66,6978694857.61,0.011628,0.02149,0.5473,1227196905.04,1543213275.43,0.1241,18,2.42,4.893,3.0,133.7
2017-08-01,14132,47032911786.27,536648551.46,7110593317.76,0.01141,0.021338,0.5471,1250391124.9,1572380255.78,0.125,26,2.404,4.645,3.0,121.7
2017-09-01,14542,48500191498.32,550298025.33,7291448846.54,0.011346,0.021313,0.5471,1282194399.02,1612373214.22,0.1248,27,2.017,4.513,3.0,125.8
2017-10-01,14934,49886546713.92,562109014.73,7447944456.55,0.011268,0.021284,0.5471,1309714004.32,1646979413.16,0.1249,25,1.794,4.481,3.0,136.6
2017-11-01,15342,51239542856.44,574707703.26,7614877080.47,0.011216,0.021309,0.547,1339068948.6,1683893570.55,0.1249,32,1.757,4.617,3.0,128.4
2017-12-01,15730,52386641676.91,589168859.41,7806487399.38,0.011247,0.021327,0.5467,1372763442.43,1726264758.07,0.1248,29,1.77,4.494,3.0,125.9
2018-01-01,16131,53530518604.19,596084560.11,7898120433.58,0.011135,0.021305,0.5468,1388877025.06,1746527761.12,0.1248,20,2.095,4.26,3.0,129.8
2018-02-01,16444,54576373236.39,605937287.27,8028669067.83,0.011103,0.021329,0.5466,1411833879.34,1775396251.7,0.1247,31,2.207,4.208,3.0,118.2
2018-03-01,16720,55521059353.33,612241660.07,8112202007.32,0.011027,0.021301,0.5465,1426523067.96,1793868064.01,0.1247,26,2.258,4.168,3.0,121.3
2018-04-01,16994,56659519031.07,629977740.68,8347205075.09,0.011119,0.021264,0.5467,1467848135.78,1845834780.19,0.1249,21,2.289,4.45,3.0,120.2
2018-05-01,17258,57562341694.41,639077301.77,8467774259.54,0.011102,0.021293,0.5468,1489050113.12,1872496494.19,0.1252,30,2.003,4.504,3.0,123.0
2018-06-01,17519,58500866796.56,652280021.61,8642710298.1,0.01115,0.021307,0.5472,1519812450.35,1911180463.32,0.1253,29,2.46,4.654,3.0,126.5
2018-07-01,17809,59534117085.03,669322365.74,8868521356.25,0.011243,0.021346,0.5468,1559521112.17,1961114531.62,0.1252,29,2.903,4.493,3.0,121.8
2018-08-01,18130,60511394498.74,679036541.43,8997234183.13,0.011222,0.021236,0.547,1582155141.53,1989577066.39,0.125,23,2.585,4.46,3.0,111.6
2018-09-01,18446,61486504997.12,686575951.12,9097131360.06,0.011166,0.02124,0.5468,1599721966.11,2011667536.78,0.125,33,2.767,4.454,3.0,101.6
2018-10-01,18774,62548534835.87,707402847.68,9373087739.21,0.01131,0.021301,0.5468,1648248635.09,2072690343.7,0.1248,23,2.436,4.528,3.0,111.2
2018-11-01,19079,63569445696.77,714273088.67,9464118431.82,0.011236,0.021262,0.5467,1664256296.6,2092820149.8,0.1247,29,3.041,4.989,3.0,116.4
2018-12-01,19379,64482829143.97,718692978.41,9522681969.8,0.011145,0.021258,0.5465,1674554639.7,2105770426.74,0.125,33,2.69,4.67,3.0,119.9
2019-01-01,19680,65449629241.97,732107581.56,9700425461.05,0.011186,0.021229,0.5465,1705810665.03,2145075213.97,0.1253,31,2.427,4.624,3.0,116.0
2019-02-01,19849,65772405376.38,735941094.8,9751219510.69,0.011189,0.021252,0.5466,1714742750.88,2156307407.76,0.1254,29,2.392,4.803,3.0,118.7
2019-03-01,20058,66355628430.5,740170787.05,9807262934.39,0.011155,0.021234,0.5468,1724597933.83,2168700406.06,0.1252,35,2.355,4.657,3.0,106.4
2019-04-01,20245,66878149287.3,745337431.76,9875720975.78,0.011145,0.021228,0.5466,1736636216.0,2183838675.06,0.1252,39,2.224,4.666,3.0,122.9
2019-05-01,20376,67138333471.53,751781553.12,9961105584.61,0.011198,0.021303,0.5464,1751651018.77,2202719950.64,0.125,29,2.291,4.83,3.0,119.6
2019-06-01,20543,67552510329.25,757004917.45,10030315163.17,0.011206,0.021368,0.5464,1763821457.66,2218024408.13,0.125,28,1.956,4.694,3.0,114.8
2019-07-01,20782,68305153570.85,762727114.22,10106134269.12,0.011166,0.021389,0.5464,1777154176.13,2234790444.66,0.1246,41,2.649,4.586,3.0,123.1
2019-08-01,20949,68711478566.91,772356026.9,10233717360.56,0.011241,0.021495,0.5464,1799589542.68,2263003158.82,0.1247,24,2.363,4.747,3.0,126.8
2019-09-01,21154,69068099404.05,775028770.22,10269131209.87,0.011221,0.021477,0.5462,1805817034.61,2270834296.74,0.1245,29,2.33,4.753,3.0,121.9
2019-10-01,21350,69707200859.99,789366456.89,10459105559.18,0.011324,0.02157,0.546,1839223844.55,2312843718.69,0.1243,25,2.481,4.697,3.0,112.9
2019-11-01,21543,70232264097.68,793981080.23,10520249319.83,0.011305,0.021497,0.546,1849975916.94,2326364565.07,0.1242,38,2.099,4.738,3.0,127.3
2019-12-01,21690,70626056997.66,811033570.57,10746194814.64,0.011483,0.021583,0.5458,1889708219.43,2376328361.77,0.1239,33,2.187,4.734,3.0,129.8
2020-01-01,21884,71283595075.94,822234905.42,10894612502.43,0.011535,0.021602,0.5456,1915807329.63,2409148272.88,0.1239,24,2.61,4.78,3.0,126.6
2020-02-01,21983,71571044190.69,812762298.04,10769100453.13,0.011356,0.021569,0.5454,1893736154.43,2381393533.26,0.1239,29,2.931,4.855,3.0,139.2
2020-03-01,22049,71794273935.9,837410586.44,11095690272.88,0.011664,0.021926,0.5457,1951166666.41,2453613018.27,0.1239,24,-4.257,12.279,1.5,307.3
2020-04-01,22176,72711351854.1,857231479.68,11358317107.09,0.01179,0.022206,0.5457,1997349347.65,2511688235.46,0.1238,1063,-3.086,12.173,1.5,288.2
2020-05-01,22273,73138813235.74,878920588.11,11645697794.45,0.012017,0.022454,0.546,2047884970.3,2575237323.16,0.1239,1045,-2.642,12.034,1.5,263.5
2020-06-01,22406,73422641662.12,883937244.48,11712168492.52,0.012039,0.022675,0.5457,2059573779.64,2589936126.33,0.1242,957,-2.396,11.779,1.5,247.0
2020-07-01,22485,73787557716.52,896437941.62,11877802730.53,0.012149,0.022877,0.5454,2088700403.97,2626563168.95,0.124,30,-1.908,11.415,1.5,238.0
2020-08-01,22592,74074305299.61,903763276.45,11974863418.29,0.012201,0.022976,0.5454,2105768434.13,2648026400.0,0.124,36,-1.045,11.108,1.5,232.3
2020-09-01,22728,74690697058.74,913042574.23,12097814114.63,0.012224,0.023153,0.5452,2127389197.96,2675214742.49,0.1243,22,-1.306,10.795,1.5,215.4
2020-10-01,22854,75148334680.77,935836730.06,12399836677.55,0.012453,0.023412,0.5454,2180499581.04,2742001619.08,0.1243,32,-1.291,10.374,1.5,204.1
2020-11-01,22943,75280278927.3,938496171.28,12435074274.78,0.012467,0.023583,0.5456,2186696079.08,2749793781.85,0.1243,41,-0.637,9.906,1.5,197.0
2020-12-01,23040,75332440838.57,947759175.09,12557809075.34,0.012581,0.023716,0.5457,2208278877.96,2776934383.01,0.124,32,-0.469,9.612,1.5,198.3
2021-01-01,23133,75568146413.36,947162372.74,12549901445.74,0.012534,0.023671,0.5456,2206888328.48,2775185752.13,0.1243,32,4.49,6.732,1.5,190.2
2021-02-01,23215,76039848791.25,951339014.34,12605241946.84,0.012511,0.023623,0.5458,2216619903.41,2787423312.02,0.124,27,4.082,6.612,1.5,186.2
2021-03-01,23267,76282923523.23,954570222.32,12648055452.13,0.012514,0.023623,0.5463,2224148618.01,2796890751.4,0.124,34,3.977,6.368,1.5,181.3
2021-04-01,23363,76574355605.72,951750244.11,12610690740.48,0.012429,0.023599,0.5461,2217578068.78,2788628215.24,0.1243,35,3.898,6.678,1.5,191.1
2021-05-01,23498,77240811301.62,963289715.41,12763588734.63,0.012471,0.023648,0.5459,2244465036.91,2822438866.15,0.1245,33,3.502,6.551,1.5,173.3
2021-06-01,23614,77860836699.51,968863433.3,12837440497.82,0.012444,0.023602,0.5456,2257451799.59,2838769859.57,0.1249,40,3.224,6.52,1.5,178.6
2021-07-01,23725,78100954373.76,971367641.92,12870621262.94,0.012437,0.023598,0.5456,2263286605.67,2846107190.83,0.125,35,2.933,6.346,1.5,156.6
2021-08-01,23837,78415069780.47,972528253.82,12885999370.72,0.012402,0.023644,0.5457,2265990831.4,2849507783.69,0.1254,36,2.841,6.12,1.5,149.7
2021-09-01,23909,78509352230.18,975488553.14,12925223339.39,0.012425,0.023605,0.5454,2272888328.82,2858181460.7,0.125,37,2.544,6.049,1.5,133.7
2021-10-01,23984,78712739753.32,978878573.01,12970141103.08,0.012436,0.02358,0.5456,2280787075.11,2868114218.92,0.1248,35,2.099,6.316,1.5,123.0
2021-11-01,24065,78876269222.56,977136915.72,12947064141.59,0.012388,0.023593,0.5455,2276729013.63,2863011163.06,0.1249,41,1.81,6.526,1.5,146.9
2021-12-01,24184,79373997894.33,982229846.25,13014545473.08,0.012375,0.023576,0.5453,2288595541.76,2877933449.51,0.125,36,1.528,6.395,1.5,148.0
2022-01-01,24340,79969480902.47,981988572.93,13011348602.06,0.01228,0.023546,0.5453,2288033374.93,2877226518.68,0.1252,33,2.144,6.177,1.5,144.2
2022-02-01,24390,80248616328.27,986281493.92,13068229803.86,0.01229,0.023643,0.5454,2298035880.83,2889804777.19,0.1252,34,2.413,6.183,1.5,139.8
2022-03-01,24434,80702525823.44,992747806.53,13153908445.1,0.012301,0.023616,0.5456,2313102389.21,2908751073.13,0.1253,46,2.381,5.918,1.85,136.9
2022-04-01,24446,80766085613.97,996855886.09,13208340500.81,0.012343,0.023664,0.5456,2322674214.59,2920787746.24,0.1251,37,2.313,5.907,2.2,131.8
2022-05-01,24454,80227634054.02,992717213.45,13153503089.01,0.012374,0.023676,0.5458,2313031107.34,2908661435.41,0.1247,43,2.473,6.013,2.55,132.8
2022-06-01,24448,80134256056.46,984548538.41,13045268142.53,0.012286,0.023641,0.5458,2293998094.5,2884727217.54,0.1247,40,2.581,5.971,2.9,132.6
2022-07-01,24537,79964379053.82,977973296.75,12958146192.37,0.01223,0.023646,0.5458,2278677781.43,2865461759.48,0.1245,42,2.357,5.97,3.25,131.5
2022-08-01,24528,79817176090.65,978659592.26,12967239609.03,0.012261,0.023633,0.5457,2280276849.97,2867472605.32,0.1245,33,2.999,6.157,3.6,134.5
2022-09-01,24523,79757553357.77,974206839.02,12908240628.92,0.012215,0.023618,0.5457,2269901934.92,2854426038.33,0.1245,31,2.72,5.932,3.95,143.5
2022-10-01,24529,79631639833.23,969240460.27,12842436112.32,0.012172,0.02364,0.5459,2258330272.43,2839874548.59,0.1244,37,2.777,5.958,4.3,128.2
2022-11-01,24552,79766057376.39,962412482.87,12751965411.68,0.012065,0.023555,0.5459,2242421085.09,2819868574.81,0.1248,51,3.028,5.978,4.65,119.5
2022-12-01,24605,80116383598.67,969376468.37,12844238218.87,0.0121,0.023573,0.546,2258647171.3,2840273052.32,0.1251,39,2.833,5.969,5.0,121.0
2023-01-01,24617,79974630303.78,964603002.53,12780989797.75,0.012061,0.023517,0.5464,2247524995.89,2826286797.41,0.125,35,2.712,5.905,4.925,119.9
2023-02-01,24605,80039103854.73,959062517.62,12707578373.5,0.011982,0.023454,0.5464,2234615666.05,2810053176.63,0.1248,34,2.737,6.08,4.854,100.4
2023-03-01,24565,80039978266.68,963134036.88,12761526003.71,0.012033,0.02341,0.5462,2244102305.93,2821982728.06,0.1246,35,2.642,6.053,4.786,105.7
2023-04-01,24628,80364178840.51,966034013.45,12799950693.34,0.012021,0.02335,0.5464,2250859251.34,2830479659.41,0.1244,37,2.516,5.737,4.722,110.7
2023-05-01,24698,80623434673.94,969336012.64,12843702184.2,0.012023,0.023309,0.5464,2258552909.45,2840154517.04,0.1239,34,3.033,5.47,4.661,119.6
2023-06-01,24745,81045805741.48,974125959.66,12907168980.73,0.012019,0.02329,0.5463,2269713486.01,2854189061.8,0.1239,39,2.881,5.437,4.603,112.2
2023-07-01,24750,81136913306.46,965258440.76,12789674355.29,0.011897,0.023199,0.5463,2249052166.97,2828207231.43,0.124,36,2.743,5.61,4.548,118.6
2023-08-01,24793,81214749618.37,963192352.15,12762298681.58,0.01186,0.023118,0.5466,2244238180.51,2822153591.8,0.124,39,3.238,5.756,4.495,123.3
2023-09-01,24829,81339540159.55,958800045.01,12704100610.85,0.011788,0.02296,0.5464,2234004104.87,2809284131.88,0.124,36,3.687,5.784,4.445,130.6
2023-10-01,24830,81384284696.02,955171529.52,12656022777.26,0.011737,0.022912,0.5463,2225549663.78,2798652581.49,0.124,40,3.48,5.755,4.398,124.9
2023-11-01,24860,81444216787.28,955538820.21,12660889379.0,0.011732,0.022885,0.5467,2226405451.09,2799728743.22,0.1242,28,3.679,5.541,4.353,131.7
2023-12-01,24933,81501100348.81,953367482.68,12632119155.18,0.011698,0.022769,0.5468,2221346234.64,2793366724.25,0.1241,51,3.504,5.689,4.311,137.5
2024-01-01,24499,80141131887.31,936061003.33,12402808305.41,0.01168,0.022724,0.5468,2181022137.76,2742658739.76,0.1242,41,3.949,5.764,4.27,124.2
2024-02-01,24069,78617470061.18,916350640.19,12141645992.48,0.011656,0.022752,0.5468,2135096991.64,2684907375.76,0.124,39,3.784,5.55,4.232,120.6
2024-03-01,23663,77155632522.94,903237370.21,11967895165.48,0.011707,0.022767,0.5467,2104543072.59,2646485494.72,0.124,32,4.109,5.618,4.195,116.0
2024-04-01,23255,75686466255.28,875233117.04,11596838810.39,0.011564,0.022725,0.5465,2039293162.7,2564433032.93,0.1242,39,3.644,5.592,4.16,107.7
2024-05-01,22853,74149054649.33,854670133.53,11324379278.44,0.011526,0.022704,0.5465,1991381411.12,2504183491.24,0.1242,41,3.329,5.61,4.127,119.1
2024-06-01,22426,72739095258.82,830793823.3,11008018166.97,0.011422,0.022613,0.5466,1935749608.29,2434225902.27,0.1242,30,3.428,5.235,4.096,122.7
2024-07-01,21962,71230657634.06,810033277.26,10732940931.74,0.011372,0.022584,0.5466,1887377536.02,2373397502.37,0.1241,31,3.357,5.286,4.066,136.3
2024-08-01,21551,70097586491.71,796691397.27,10556161020.56,0.011365,0.022534,0.5466,1856290955.64,2334305794.0,0.1242,39,2.652,5.183,4.038,140.4
2024-09-01,21134,68747518400.24,777216739.14,10298121800.67,0.011305,0.022497,0.5466,1810915002.2,2277245045.68,0.1243,30,2.163,5.395,4.011,142.3
2024-10-01,20683,67185888644.92,758873556.13,10055074625.13,0.011295,0.02239,0.5466,1768175385.78,2223499519.46,0.1239,33,2.45,5.29,3.985,147.6
2024-11-01,20268,65894813697.51,738870854.96,9790038835.79,0.011213,0.02231,0.5465,1721569092.06,2164891605.03,0.124,26,2.776,5.31,3.961,147.7
2024-12-01,19792,64267810179.47,723335748.18,9584198671.57,0.011255,0.02229,0.5464,1685372293.26,2119373742.17,0.1236,29,2.829,5.165,3.938,144.8
